Rank,Team,Matches,W,D,L,GF,GA,GD,Pts
1,Liverpool,25,16,6,3,52,29,23,54
2,Arsenal,24,13,8,3,43,19,24,47
3,Manchester City,23,14,4,5,48,22,26,46
4,Crystal Palace,24,11,9,4,37,26,11,42
5,Chelsea,24,12,6,6,36,25,11,42
6,Newcastle United,23,12,3,8,39,29,10,39
7,Aston Villa,23,11,6,6,30,24,6,39
8,Brighton and Hove Albion,24,11,6,7,43,39,4,39
9,Everton,25,10,8,7,33,25,8,38
10,Brentford,25,10,6,9,40,35,5,36
11,AFC Bournemouth,23,10,5,8,35,28,7,35
12,Nottingham Forest,24,9,6,9,37,36,1,33
13,Fulham FC,24,10,3,11,32,34,-2,33
14,Manchester United,24,7,6,11,29,36,-7,27
15,Wolverhampton Wanderers,24,8,2,14,26,39,-13,26
16,Tottenham Hotspur,24,7,3,14,33,40,-7,24
17,West Ham United,24,6,5,13,28,40,-12,23
18,Leicester City,19,3,2,14,11,38,-27,11
19,Sunderland AFC,4,2,1,1,5,3,2,7
20,Leeds United,5,2,1,2,4,7,-3,7
21,Ipswich,19,1,4,14,18,49,-31,7
22,Southampton FC,19,1,3,15,14,47,-33,6
23,Burnley FC,5,1,1,3,5,8,-3,4
