team,exp_points_mc,title_prob,top4_prob,releg_prob,rank_mc
AFC Bournemouth,57.0,0.0,0.0,0.0,1
Arsenal,57.0,0.0,0.0,0.0,2
Aston Villa,57.0,0.0,0.0,0.0,3
Brentford,57.0,0.0,0.0,0.0,4
Brighton and Hove Albion,57.0,0.0,0.0,0.0,5
Burnley,57.0,0.0,0.0,0.0,6
Chelsea,57.0,0.0,0.0,0.0,7
Crystal Palace,57.0,0.0,0.0,0.0,8
Everton,57.0,0.0,0.0,0.0,9
Fulham,57.0,0.0,0.0,0.0,10
Leeds United,57.0,0.0,0.0,0.0,11
Liverpool,57.0,0.0,0.0,0.0,12
Manchester City,57.0,0.0,0.0,0.0,13
Manchester United,57.0,0.0,0.0,0.0,14
Newcastle United,57.0,0.0,0.0,0.0,15
Nottingham Forest,57.0,0.0,0.0,0.0,16
Sunderland,57.0,0.0,0.0,0.0,17
Tottenham Hotspur,57.0,0.0,0.0,0.0,18
West Ham United,57.0,0.0,0.0,0.0,19
Wolverhampton Wanderers,57.0,0.0,0.0,0.0,20
